Name,Market Cap (GBP Billion)
JPMorgan Chase,286.31944423702726
Industrial and Commercial Bank of China,252.83418843805123
Bank of America,238.27191063728483
Wells Fargo,225.5882347858704
China Construction Bank,188.51862111549923
HSBC Holdings PLC,160.59300172881603
Agricultural Bank of China,148.85558463707522
Citigroup Inc.,148.797725161832
Bank of China,132.90760902415522
China Merchants Bank,89.80376476481281
Royal Bank of Canada,89.76568004693121
Banco Santander,84.7355676928768
Commonwealth Bank,82.19487757112161
Mitsubishi UFJ Financial Group,81.77960766652801
Toronto-Dominion Bank,79.4278763373392
BNP Paribas,75.6259961349664
Goldman Sachs,73.756182966664
Sberbank of Russia,73.122658332672
Morgan Stanley,72.9842350311408
U.S. Bancorp,69.25412987400641
HDFC Bank,64.76965434344801
Itaú Unibanco,63.13494106822241
Westpac,61.931610462848006
Scotiabank,57.820658126897605
ING Group,57.80088336953601
UBS,55.282897598825606
Charles Schwab,54.384244736504
PNC Financial Services,52.9128563091168
Lloyds Banking Group,52.185584677262405
Sumitomo Mitsui Financial Group,49.31092087562241
Bank of Communications,49.12782127042241
Australia and New Zealand Banking Group,48.6664102653184
Banco Bradesco,47.47113604257281
National Australia Bank,46.7226248565152
Intesa Sanpaolo,45.4321388390656
Banco Bilbao Vizcaya Argentaria,44.4404713773024
Japan Post Bank,44.328414418920005
The Bank of New York Mellon,43.814270727518405
Shanghai Pudong Development Bank,43.0620975493568
Industrial Bank (China),42.0308805728704
Bank of China (Hong Kong),40.610760034939204
Bank of Montreal,38.9496804165648
Crédit Agricole,38.1879860589328
DBS Bank,37.70020871068
Nordea,37.487813168648
Capital One,37.4306860918256
NatWest Group,36.978796266192006
Mizuho Financial Group,36.633104211574405
Credit Suisse,35.493492268809604
Postal Savings Bank of China,35.1170394805184
China Minsheng Bank,35.097264723156805
UniCredit,34.99179935056161
China CITIC Bank,34.75303746538081
Hang Seng Bank,33.815567486756805
Société Générale,33.727679676260806
Barclays,33.580467593680005
Canadian Imperial Bank of Commerce,31.8915568353152
Bank Central Asia,31.745077151155204
Truist Financial,30.704338995198405
Oversea-Chinese Banking Corp,30.293463481129603
State Bank of India,29.7075447444896
State Street,29.126752796795202
Deutsche Bank,28.306466565499203
KBC Bank,28.1197049681952
Danske Bank,27.9944648382384
Ping An Bank,27.826013201454405
Standard Chartered,27.332376665835206
United Overseas Bank,25.727691725862403
QNB Group,24.579291002048002
Bank Rakyat,24.228472158484806
Banco Bilbao Vizcaya Argentaria,44.4404713773024
Japan Post Bank,44.328414418920005
The Bank of New York Mellon,43.814270727518405
Shanghai Pudong Development Bank,43.0620975493568
Industrial Bank (China),42.0308805728704
Bank of China (Hong Kong),40.610760034939204
Bank of Montreal,38.9496804165648
Crédit Agricole,38.1879860589328
DBS Bank,37.70020871068
Nordea,37.487813168648
Capital One,37.4306860918256
NatWest Group,36.978796266192006
Mizuho Financial Group,36.633104211574405
Credit Suisse,35.493492268809604
Postal Savings Bank of China,35.1170394805184
China Minsheng Bank,35.097264723156805
UniCredit,34.99179935056161
China CITIC Bank,34.75303746538081
Hang Seng Bank,33.815567486756805
Société Générale,33.727679676260806
Barclays,33.580467593680005
Canadian Imperial Bank of Commerce,31.8915568353152
Bank Central Asia,31.745077151155204
Truist Financial,30.704338995198405
Oversea-Chinese Banking Corp,30.293463481129603
State Bank of India,29.7075447444896
State Street,29.126752796795202
Deutsche Bank,28.306466565499203
KBC Bank,28.1197049681952
Danske Bank,27.9944648382384
Ping An Bank,27.826013201454405
Standard Chartered,27.332376665835206
United Overseas Bank,25.727691725862403
QNB Group,24.579291002048002
Bank Rakyat,24.228472158484806
